site,serialno,deployment,date_start,date_end,stratum
Ap161i,SMA00349,2,20200424,20200502,stand init
Az025i,SMA00309,2,20200422,20200501,thinned
Az051i,SMA00380,2,20200424,20200503,comp excl
Az156i,SMA00351,2,20200424,20200503,mature
Bc003i,SMA00410,4,20200523,20200601,comp excl
Bc005i,SMA00486,4,20200523,20200601,mature
Bc191i,SMA00556,4,20200524,20200602,thinned
Dz181i,SMA00424,4,20200521,20200530,stand init
Bp232i,SMA00404,6,20200618,20200627,stand init
Bp236i,SMA00556,6,20200618,20200627,comp excl
Bp238i,SMA00349,6,20200619,20200628,thinned
Cp245i,SMA00399,6,20200619,20200628,mature
Ac277i,SMA00370,8,20200716,20200725,mature
Cz272i,SMA00346,8,20200716,20200725,comp excl
Dz286i,SMA00339,8,20200717,20200726,stand init
Dz305i,SMA00424,8,20200717,20200726,thinned
