common_name,soundalike_group,soundalike,song_desc,call_desc,other_desc,rec_regional,scientific_name,macaulay_greaterthan10,id,subspecies,habitat,residency,rarity,season_pre,season_breeding,season_post,mra_pre,mra_breeding,mra_post,iucn,rec_field_guide,notes,priority,status,PNW-CNet,https://zenodo.org/records/10252138
American Crow,1,Common Raven,"The American Crow is not known for the beauty of its song, a series of loud caws. You may also hear crows making a “subsong”: a mixture of hoarse or grating coos, caws, rattles, and clicks. These are arranged in sequences that can be many minutes long, given quietly and with a rambling, improvised quality.","Crows have more than 20 calls. The most common, a harsh caw, has several qualities and lengths that may serve different purposes. Immature begging young American Crows give a higher-pitched, nasal call that can sound like a Fish Crow. You may also hear a variety of calls and alert calls given to rally others to mob predators.","Sometimes clacks its bill to make a single, sharp note.","https://search.macaulaylibrary.org/catalog?taxonCode=amecro&regionCode=US-WA&tag=song,call",Corvus brachyrhynchos,YES,amecro,caurinus,Open Woodlands,Year round,U,1 Feb-3 May,10 May-5 Jul,12 Jul-29 Nov,1.1,0.5,1.5,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,1,,,1
American Goldfinch,2 and 6,Finches,Males sing a long and variable series of twitters and warbles that can be several seconds long. The notes and phrases are variable and repeated in a seemingly random order. Birds continue to learn song patterns throughout life.,"The American Goldfinch’s most common call is its contact call, often given in flight. It sounds like the bird is quietly saying po-ta-to-chip with a very even cadence. Birds sometimes give harsh threat calls when in feeding flocks or at the nest. Males make a tee-yee courtship call upon landing near a female in spring or early summer, often followed by a burst of song. Females brooding nestlings make a rapid sequence of high notes when they hear their mate approaching with food. Birds at their nest make a loud, two-parted bay-bee call if they feel threatened.",,https://search.macaulaylibrary.org/catalog?taxonCode=amegfi&mediaType=audio&regionCode=US-WA,Spinus tristis,YES,amegfi,jewetti,Open Woodlands,Year round,U,29 Mar-24 May,31 May-23 Aug,30 Aug-29 Nov,0.5,0.7,0.9,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
American Kestrel,3,?,N/A,"American Kestrels have a fairly limited set of calls, but the most common one is a loud, excited series of 3-6 klee! or killy! notes lasting just over a second. It's distinctive and an excellent way to find these birds. You may also hear two other common calls: a long whine that can last 1–2 minutes, heard in birds that are courting or feeding fledglings, and a fast chitter, usually used by both sexes in friendly interactions.",,https://search.macaulaylibrary.org/catalog?taxonCode=amekes&mediaType=audio&regionCode=US-WA,Falco sparverius,FEW,amekes,,Grasslands,,R,,,,,,,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
American Redstart,7,"""Tink"" of pacific-slope","During breeding season the male sings a series of 2–11 thin, high-pitched notes, sometimes ending with an accented phrase. The building energy of the song and the abrupt, accented ending lead some people to describe the song as sneeze-like.","Both the male and female use a variety of calls in different situations, including sharp, sweet-sounding chip notes, soft tsip calls, and high-pitched alarm calls.","Males snap bills at each other during territorial conflicts, and females snap their bills at courting males.",,,YES,amered,,Forests,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
American Robin,3 and 4,"Downy/Hairy/Three-toed Woodpecker (whinny); Black-headed Grosbeak(song), Western Tanager(song), Red-eyed Vireo(song), Merlin","The musical song of the American Robin is a familiar sound of spring. It’s a string of 10 or so clear whistles assembled from a few often-repeated syllables, and often described as cheerily, cheer up, cheer up, cheerily, cheer up. The syllables rise and fall in pitch but are delivered at a steady rhythm, with a pause before the bird begins singing again. At dawn, the song is more rapid.",American Robins often make a mumbled cuck or tuk to communicate with each other or a sharp yeep or peek as an alarm call. They also make a repeated chirr that rises in volume and can sound like a laugh or chuckle. Cheep can sound similar to a hairy woodpecker.,Female robins aggressively clack their bill if approached while on the nest.,https://search.macaulaylibrary.org/catalog?taxonCode=amerob&mediaType=audio&sort=rating_rank_desc&regionCode=US-WA,Turdus migratorius,YES,amerob,caurinus,Open Woodlands,Year round,C,8 Feb-17 May,24 May-9 Aug,16 Aug-29 Nov,5.4,3.1,3.3,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/?speciesCode=amerob&species=American%20Robin%20-%20Turdus%20migratorius,,,,1,1
American Three-toed Woodpecker,4,"Downy/Hairy Woodpecker, American Robin",,"The most commonly heard calls are a sharp pik or nasal klimp. These calls are higher in pitch than similar calls of Black-backed. Both sexes also give a descending, fussy rattle like other small woodpeckers and recalling a kingfisher call, often delivered in flight. Birds performing displays together give a twittering call.","This species drums frequently in spring, making a rapid drumming that fades toward the end. Sometimes drums with a slower cadence.",,,YES,attwoo1,,Forests,,R,,,,,,,,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Anna's Hummingbird,2,Dark-eyed Junco ,"Anna’s Hummingbirds have a distinctive song that is long for a hummingbird (10 seconds or more). It's a series of buzzes, then a clearer, more tuneful whistle, followed by more emphatic chip notes; then the bird may repeat the whole set of buzz-whistle-chip sounds. It may not sound like it could be coming from a hummingbird, but once you learn to recognize it this can be a very good way to locate singing males.","Calls are a series of short, sharp chip notes that may be given one at a time or one after another to make a twittering sound.","Displaying males make a loud squeak at the bottom of the courtship dive. For years this was thought to be another kind of chip note, but recent experiments and analysis of high-speed video show it comes from wind passing over the hummingbird's modified outer tail feathers.",https://search.macaulaylibrary.org/catalog?taxonCode=annhum&tag=song&regionCode=US-WA,Calypte anna,YES,annhum,Monotypic,Open Woodlands,Year round,U,6 Sep-18 Jan,25 Jan-3 May,10 May-7 Jun,0.07,0.08,0.06,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,1
Bald Eagle,3,?,N/A,"For such a powerful bird, the Bald Eagle emits surprisingly weak-sounding calls—usually a series of high-pitched whistling or piping notes. The female may repeat a single, soft, high-pitched note that has been called “unlike any other calls in nature”; apparently this signals her readiness for copulation.",,https://search.macaulaylibrary.org/catalog?taxonCode=baleag&tag=song,Haliaeetus leucocephalus,YES,baleag,Washingtoniensis,Forests,Year round,U,15 Feb-17 May,24 May-19 Jul,26 Jul-20 Dec,0.2,0.08,0.09,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,,,,,
Band-tailed Pigeon,5 and 7,"Great Horned Owl, Long-eared Owl","From the top of a tall tree, the male gives a slow series of deep, hooting, almost owl-like coos, each rising slightly in pitch.","The male makes mechanical chirping calls while both males and females give a soft, nasal grunt to keep other individuals from crowding too closely.","When Band-tailed Pigeons take flight their wings sometimes clap together, possibly to signal aggression or to warn fellow pigeons of danger.",https://search.macaulaylibrary.org/catalog?tag=song&taxonCode=batpig1&regionCode=US-WA,Patagioenas fasciata,FEW,batpig1,monilis,Forests,Breeding,C,15 Feb-3 May,10 May-19 Jul,26 Jul-6 Dec,0.1,0.3,0.2,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,"Steep decline, listed as ""concern"" in Canada",,Declining,1,1
Barred Owl,5,Spotted Owl,"Although the Barred Owl is not technically a songbird, its distinctive ""Who cooks for you?"" call (see below) functions as a song.","Barred Owls have a distinctive hooting call of 8–9 notes, described as “Who cooks for you? Who cooks for you-all?” This call carries well through the woods and is fairly easy to imitate. During courtship, mated pairs perform a riotous duet of cackles, hoots, caws and gurgles.",Both adults and young may snap their bills during squabbles.,https://search.macaulaylibrary.org/catalog?regionCode=US-WA&taxonCode=brdowl&tag=song,Strix varia,YES,brdowl,varia,Forests,Year round,C,N/A,N/A,N/A,N/A,N/A,N/A,LC,https://academy.allaboutbirds.org/peterson-field-guide-to-bird-sounds/,Year round abundnace is 0.02,1,,1,1
